drug_id,drug_name,type,approval_status,mechanism
DR001,AlphaCure,small_molecule,approved,inhibitor
DR002,BetaTherapy,biologic,experimental,agonist
DR003,GammaBlock,small_molecule,approved,antagonist
DR004,DeltaMab,monoclonal_antibody,approved,blocker
DR005,EpsilonTab,small_molecule,experimental,inhibitor
DR006,ZetaInject,biologic,approved,replacement
DR007,EtaPill,small_molecule,approved,agonist
DR008,ThetaDose,small_molecule,experimental,antagonist
DR009,IotaFusion,fusion_protein,approved,blocker
DR010,KappaRelief,small_molecule,approved,inhibitor
DR011,LambdaCare,biologic,experimental,agonist
DR012,MuShield,vaccine,approved,preventive
DR013,NuTreat,small_molecule,approved,antagonist
DR014,XiBoost,biologic,experimental,stimulator
DR015,OmicronGuard,monoclonal_antibody,approved,neutralizer
DR016,PiRelease,small_molecule,approved,inhibitor
DR017,RhoBalance,biologic,experimental,modulator
DR018,SigmaHeal,small_molecule,approved,agonist
DR019,TauProtect,vaccine,experimental,preventive
DR020,UpsilonFix,gene_therapy,experimental,corrective