protein_id,disease_id,association_type,confidence
P001,D001,causal,high
P002,D002,causal,medium
P003,D003,risk_factor,high
P004,D004,biomarker,medium
P005,D005,protective,low
P006,D001,risk_factor,high
P007,D006,causal,high
P008,D007,biomarker,medium
P009,D008,risk_factor,low
P010,D009,causal,high
P011,D001,protective,medium
P012,D006,causal,high
P013,D010,risk_factor,medium
P014,D011,biomarker,high
P015,D012,risk_factor,medium
P016,D013,causal,low
P017,D006,protective,medium
P018,D003,causal,high
P019,D014,risk_factor,high
P020,D015,protective,low
P021,D001,risk_factor,medium
P022,D002,protective,low
P023,D004,causal,high
P024,D008,risk_factor,medium
P025,D009,biomarker,high
P026,D001,causal,medium
P027,D005,risk_factor,low
P028,D007,protective,medium
P029,D011,causal,high
P030,D012,biomarker,medium